epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,869.148,1.67872,1.36864,1.49866,0.7289,0.62747,0.68406,0.34856,1.58796,1.11648,1.47196,0.000416581,0.000416581,0.000416581
2,1688.57,1.65431,1.3648,1.48951,0.70653,0.65747,0.68428,0.32573,1.64052,1.18726,1.52368,0.000778254,0.000778254,0.000778254
3,2528.99,1.64956,1.35341,1.4781,0.65603,0.62819,0.64537,0.31249,1.67049,1.20322,1.51093,0.00108493,0.00108493,0.00108493
4,3364.08,1.62606,1.29636,1.46172,0.69872,0.68092,0.70298,0.35385,1.59538,1.09733,1.47281,0.0010025,0.0010025,0.0010025
