epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1037.57,1.63848,1.50039,1.34307,0.47509,0.61393,0.46756,0.24321,1.55449,2.17484,1.35329,0.000416581,0.000416581,0.000416581
2,2055.52,1.62531,1.32188,1.32981,0.58326,0.56847,0.57224,0.29186,1.55161,1.32236,1.36341,0.00081675,0.00081675,0.00081675
3,3001.38,1.61587,1.28878,1.32864,0.647,0.61683,0.61509,0.32121,1.49666,1.16585,1.31411,0.00120042,0.00120042,0.00120042
4,3929.2,1.5852,1.24752,1.30751,0.66629,0.63186,0.65057,0.34887,1.46278,1.16508,1.3091,0.00117575,0.00117575,0.00117575
5,4849.59,1.54479,1.17777,1.2894,0.67743,0.64964,0.65581,0.34236,1.44727,1.06947,1.29433,0.001151,0.001151,0.001151
